Sentence,Translated Gujarati
What brings you in to see me today?," 'આજે તમે મને મળવા શા માટે આવ્યા છો?', type='text')]"
How long have you been experiencing these chest pains?," 'તમને આ છાતીના દુખાવાનો અનુભવ કેટલા સમયથી થઈ રહ્યો છે?', type='text')]"
Is the shortness of breath worse with activity or at rest?," 'શું શ્વાસ ચડવો પ્રવૃત્તિ દરમિયાન વધારે થાય છે કે આરામ કરતી વખતે?', type='text')]"
Do you have any history of heart disease in your family?," 'શું તમારા કુટુંબમાં કોઈને હૃદયની બીમારીનો ઇતિહાસ છે?', type='text')]"
When did you first notice the lump in your breast?," 'તમારી છાતીમાં ગાંઠ તમને પ્રથમ ક્યારે જોવા મળી?', type='text')]"
Have you had any recent weight loss or night sweats?," 'શું તમને તાજેતરમાં વજન ઘટ્યું છે અથવા રાત્રે પરસેવો આવે છે?', type='text')]"
How often are you having to use your rescue inhaler for your asthma?," 'તમારા અસ્થમા માટે તમારે કેટલી વાર રેસ્ક્યુ ઇન્હેલરનો ઉપયોગ કરવો પડે છે?', type='text')]"
Is the pain in your joints worse in the mornings?," 'શું સવારે તમારા સાંધાઓમાં દુખાવો વધારે થાય છે?', type='text')]"
Have you traveled anywhere recently or been exposed to anyone sick?," 'શું તમે તાજેતરમાં ક્યાંય મુસાફરી કરી છે અથવા કોઈ બીમાર વ્યક્તિના સંપર્કમાં આવ્યા છો?', type='text')]"
Are the headaches accompanied by any vision changes or nausea?," 'શું માથાનો દુખાવો કોઈ દ્રષ્ટિમાં ફેરફાર અથવા ઊલટી સાથે થાય છે?', type='text')]"
"Based on your cholesterol levels, I think starting you on a statin medication like atorvastatin would be beneficial."," 'હું વિચારું છું કે તમારા કૉલેસ્ટરોલના સ્તર પર આધાર રાખીને તમને atorvastatin જેવી statin દવાઓ લેવાથી ફાયદો થશે.', type='text')]"
"For your diabetes, I'd like to start you on metformin to help lower your blood sugar levels."," 'તમારા ડાયાબિટીસ માટે, હું તમારા બ્લડ શુગરના સ્તરને નીચું લાવવામાં મદદ કરવા માટે તમને metformin શરૂ કરવા માગું છું.', type='text')]"
"Given the severity of your depression symptoms, an antidepressant like sertraline could help improve your mood."," 'તમારા ડિપ્રેશનના લક્ષણોની તીવ્રતાને જોતા, sertraline જેવી antidepressant દવા તમારા મૂડમાં સુધારો લાવી શકે છે.', type='text')]"
"To help manage your chronic pain, let's try a low-dose opioid patch like fentanyl, along with physical therapy."," 'તમારી લાંબા ગાળાની પીડાને નિયંત્રિત કરવામાં મદદ માટે, ચાલો ફેન્ટાનિલ જેવી ઓછા ડોઝવાળી ઓપિઓઇડ પેચ, ફિઝિકલ થેરપી સાથે પ્રયાસ કરીએ.', type='text')]"
The MRI shows a torn ACL in your knee - I recommend proceeding with surgical repair to restore stability.," 'MRI એ તમારા ઘૂંટણમાં ACL ફાટેલું દર્શાવે છે - હું સ્થિરતા પુનઃસ્થાપિત કરવા માટે શસ્ત્રક્રિયા દ્વારા આગળ વધવાની ભલામણ કરું છું.', type='text')]"
Your blood pressure remains high despite lifestyle changes - starting a medication like lisinopril would be the next step.," 'તમારા જીવનશૈલીમાં ફેરફારો હોવા છતાં તમારું બ્લડ પ્રેશર ઊંચું રહે છે - લિસિનોપ્રિલ જેવી દવા શરૂ કરવી એ આગલું પગલું હશે.', type='text')]"
